unique_name	taxid	S_Normal_25_008M	S_Normal_25_068M	S_Normal_25_102M	S_Normal_50_008M	S_Normal_50_068M	S_Normal_50_102M	S_Normal_100_008M	S_Normal_100_068M	S_Normal_100_102M	S_Normal_150_008M	S_Normal_150_068M	S_Normal_150_102M	S_Normal_200_008M	S_Normal_200_068M	S_Normal_200_102M	S_Normal_400_008M	S_Normal_400_068M	S_Normal_400_102M	S_Normal_25_17M	S_Normal_25_34M	S_Normal_50_17M	S_Normal_50_34M	S_Normal_100_17M	S_Normal_100_34M	S_Normal_150_17M	S_Normal_150_34M	S_Normal_200_17M	S_Normal_200_34M	S_Normal_400_17M	S_Normal_400_34M
Haliscomenobacter hydrossis	2350	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0076	0	0	0	0	0.0844	0	0	0	0	0	0	0.0181	0.0073	0	0.0033	0.0036
Olsenella uli	133926	0	0	0	0	0	0	0.0066	0	0	0	0	0	0.0053	0	0	0.0008	0.0029	0	0	0	0.0018	0	0	0	0	0	0	0	0	0
Mycobacterium florentinum	292462	0	0	0	0	0	0	0.0607	0	0.0379	0	0	0.0054	0.0121	0.0005	0	0.0033	0.0018	0.0028	0	0	0	0	0	0	0	0	0.0011	0	0	0
Herbaspirillum hiltneri	341045	0	0.1133	0	0	0	0	0	0	0	0.0027	0	0	0	0	0.0022	0.0035	0	0.0027	0	0	0	0	0	0	0.0087	0	0	0	0.0009	0.0021
Thiocystis violascens	73141	0.0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009	0.001	0	0	0	0	0	0	0	0	0	0.0018	0	0.0012	0
Owenweeksia hongkongensis	253245	0	0	0	0	0	0.0046	0	0.0029	0	0.0098	0.0149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0
Stanieria cyanosphaera	102116	0	0	0	0	0	0	0	0.0735	0	0.0041	0	0	0	0	0.0021	0.0032	0.0015	0	0	0	0	0	0	0	0	0.0045	0	0.0103	0	0.0017
Pelagibacterium halotolerans	531813	0	0	0	0	0	0	0.0073	0	0	0	0.0014	0	0.001	0.0326	0	0.0012	0	0.0031	0	0	0	0	0	0	0.0005	0	0	0.0027	0.0006	0
Bradyrhizobium paxllaeri	190148	0	0	0	0	0	0	0.0559	0.0066	0	0	0	0	0	0.0282	0	0	0.0076	0.0123	0	0	0	0	0	0	0	0	0	0	0	0.0022
Aerococcus urinaehominis	128944	0	0	0	0	0	0	0	0.0618	0	0	0	0	0	0.0006	0	0.0011	0	0	0	0	0	0	0	0	0.0004	0.0012	0	0	0	0
Polaribacter vadi	1774273	0	0	0	0	0	0.0109	0	0	0	0	0	0	0	0	0.1057	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0.0003	0
Xylanimonas cellulosilytica	186189	0	0	0	0	0	0	0.0042	0	0.0079	0	0.0058	0	0	0	0	0	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0.0005
Sandaracinus amylolyticus	927083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Robiginitalea biformata	252307	0	0	0	0	0.0973	0	0	0	0	0	0	0	0	0	0.0032	0.0046	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomonospora viridis	1852	0	0	0.0214	0	0.0164	0	0	0	0	0	0	0.0292	0	0	0.007	0	0	0.0041	0	0	0	0	0	0	0.0036	0	0.0015	0	0.0017	0.0024
Vibrio tubiashii	29498	0	0	0	0.0425	0	0	0	0.0266	0	0	0	0	0	0	0	0	0.0241	0	0	0	0	0	0	0	0	0.0033	0	0.0036	0.0006	0
Desulfosporosinus orientis	1563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0047	0.0143	0	0	0	0	0	0	0	0	0.0012	0	0	0.0036
Isosphaera pallida	128	0	0	0	0	0.0416	0	0	0	0.0363	0	0	0	0.0094	0.0019	0.0008	0.0094	0	0.0039	0	0	0	0	0.0092	0	0	0	0.0014	0	0	0.0119
Paraprevotella xylaniphila	454155	0	0	0	0	0	0	0.004	0	0	0	0	0	0.0004	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0.0075	0	0	0
Marinobacter salinus	1874317	0	0	0	0.0749	0	0	0	0	0	0	0	0	0	0.0059	0	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0.0041	0
Actinoalloteichus hymeniacidonis	340345	0	0	0	0	0	0	0	0	0	0.0254	0	0	0.0373	0	0.014	0	0.0181	0.004	0	0	0	0	0	0	0.011	0	0	0	0.006	0
Glutamicibacter halophytocola	1933880	0	0	0	0	0	0	0	0.0021	0.0036	0.0367	0.0101	0	0.0033	0	0	0.004	0	0	0	0	0	0	0	0.0298	0	0	0	0	0	0.0034
Paenibacillus crassostreae	1763538	0	0.0446	0	0	0	0	0	0	0.0052	0	0	0.0021	0	0	0	0	0	0.0015	0.0949	0	0.0051	0	0	0	0.0074	0	0	0	0	0
Chryseobacterium indoltheticum	254	0	0.0235	0	0	0	0	0.01	0	0.0066	0	0	0.0024	0	0.0115	0.0003	0.0015	0.0008	0	0	0	0	0	0	0	0	0	0.0044	0	0	0
Sphingobium cloacae	120107	0	0	0.0702	0	0.0287	0	0	0	0	0	0	0	0	0.0064	0	0.0008	0.0015	0.001	0	0	0	0	0.0031	0	0.0229	0	0	0	0	0
Clavibacter michiganensis	28447	0	0	0	0	0	0	0.0055	0	0	0	0	0.0005	0	0	0	0.0019	0	0.001	0	0	0	0	0	0	0	0.0038	0	0	0.0049	0
Thermacetogenium phaeum	85874	0	0.0116	0	0	0	0	0.0619	0.0169	0	0	0	0	0	0	0	0.0014	0.0007	0	0	0	0	0	0	0	0	0	0.0068	0	0.002	0.0035
Xanthomonas vesicatoria	56460	0	0	0.085	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008	0	0	0	0	0	0	0	0	0	0	0.0003	0	0.0045
Methylocella silvestris	199596	0	0	0	0	0.0381	0	0	0	0	0	0.0117	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0.0119	0	0	0	0.001
Gemmatirosa kalamazoonesis	861299	0	0	0	0	0	0	0.0556	0	0	0	0.0036	0	0	0	0	0	0.0034	0.0017	0	0	0	0	0	0	0.0492	0	0.0073	0	0.0012	0
Dyadobacter fermentans	94254	0	0	0	0	0	0	0	0	0	0.0062	0	0	0.0122	0	0	0.0462	0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0
Shewanella psychrophila	225848	0	0	0	0	0	0	0	0.0042	0	0.0053	0	0	0	0.0049	0	0	0.0012	0	0.0411	0	0	0	0	0.0038	0	0.0001	0	0	0	0.0045
Deinococcus wulumuqiensis	980427	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.004	0.0011	0	0.0011	0	0	0	0	0	0	0.0008	0	0	0	0	0
Labilithrix luteola	1391654	0	0	0	0	0	0	0.0066	0	0	0	0	0	0	0.0015	0	0.0007	0.0391	0.0051	0	0	0	0	0	0	0	0	0.0067	0	0.007	0.0074
Paraburkholderia phymatum	148447	0	0	0	0.0544	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0	0	0	0	0	0	0	0	0	0.0007
Amycolatopsis mediterranei	33910	0	0	0	0	0	0	0	0	0	0.0105	0	0	0.0039	0	0	0	0.0026	0	0	0	0	0	0	0	0	0	0.0008	0.0084	0	0
Planococcus versutus	1302659	0	0	0	0.0576	0	0	0	0	0	0	0	0	0	0	0	0.0011	0.0014	0.0004	0	0	0	0	0	0	0	0.0148	0.0016	0	0	0
Haliangium ochraceum	80816	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0.0321	0.0029	0.002
Roseateles depolymerans	76731	0	0	0	0.0378	0	0	0	0	0	0	0	0	0	0.0057	0.0066	0.0009	0.025	0	0	0	0	0	0	0	0.0128	0	0	0	0	0
Acetobacterium woodii	33952	0	0	0	0.0072	0.0491	0	0	0	0	0	0.0062	0	0	0.0027	0	0	0	0.001	0	0	0	0	0	0	0	0	0.0111	0	0	0
Corynebacterium efficiens	152794	0	0	0	0	0.0431	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0.0072	0	0.0035	0	0	0.0034	0	0	0.001	0
Pseudonocardia dioxanivorans	240495	0	0	0	0	0	0	0	0	0	0	0.0611	0	0	0	0.0063	0.007	0	0	0	0	0	0	0	0	0	0.0065	0	0.0052	0	0.0051
Erwinia persicina	55211	0	0	0.0323	0	0	0	0	0	0	0	0	0	0	0	0.0031	0	0.0005	0.0004	0	0	0	0	0	0	0.0151	0	0	0	0.0011	0
Marivirga tractuosa	1006	0.0321	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062	0	0.0028	0.0008	0	0	0	0	0	0	0	0	0	0	0.0008	0
Flavobacterium columnare	996	0	0.041	0	0	0	0	0	0.0007	0	0	0.0296	0.007	0	0.0011	0	0.0012	0	0.0002	0.0053	0	0	0	0	0	0	0	0	0	0	0
Desulfocapsa sulfexigens	65555	0.0495	0	0	0	0	0	0.0033	0	0	0	0	0.0026	0	0.0146	0.0015	0.0012	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0
Yersinia enterocolitica	630	0.0004	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0.0002	0	0	0	0	0	0	0.0001	0	0	0	0	0
Stenotrophomonas rhizophila	216778	0	0	0	0	0	0	0	0	0	0	0.0085	0.0066	0.0036	0	0	0	0.013	0.0031	0	0	0	0	0	0	0.0025	0	0.0033	0	0	0
Acaryochloris marina	155978	0	0	0	0	0	0	0	0	0	0.0068	0	0	0.008	0.0092	0	0	0.0133	0.0039	0	0	0	0	0	0	0	0.0094	0	0	0.0033	0.0059
Dictyoglomus thermophilum	14	0	0	0.0676	0	0	0	0	0	0	0	0.0057	0	0	0	0.0038	0	0	0.0002	0	0	0	0	0	0	0	0.0013	0	0	0.0015	0.0007
Chondromyces crocatus	52	0	0	0	0	0	0	0	0.0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0251	0	0	0	0	0.0017	0
Belliella baltica	232259	0	0	0.0141	0	0	0	0.0067	0.0444	0	0	0	0	0	0	0	0.0016	0.002	0.0029	0	0	0	0	0	0	0.0039	0	0	0	0	0.0004
Methylacidiphilum kamchatkense	431057	0	0.0565	0	0	0	0	0	0	0	0.0099	0	0	0	0.0006	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0
Mycobacterium paraseoulense	590652	0	0	0	0	0.0291	0.0261	0	0	0	0	0	0	0	0	0	0	0	0.0099	0	0	0	0	0	0	0	0	0	0	0	0
Barnesiella viscericola	397865	0	0.0128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0.0108	0	0	0.0026	0
Syntrophobacter fumaroxidans	119484	0	0	0	0	0	0	0	0	0	0.0034	0.0013	0	0.0114	0	0	0.0008	0.0138	0	0	0	0	0	0	0	0	0.0036	0	0	0	0
Niabella ginsenosidivorans	1176587	0	0	0	0	0	0	0.0299	0	0	0	0	0.0264	0	0	0	0	0.0082	0	0	0	0	0	0	0	0	0	0	0	0	0.0009
Chromobacterium violaceum	536	0	0	0	0	0.0258	0	0	0	0	0	0.0073	0	0.0054	0.0231	0	0.0037	0	0	0	0	0	0	0	0	0	0	0.0015	0	0.0016	0
Roseiflexus castenholzii	120962	0	0	0	0.014	0	0	0	0.0182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136	0	0	0.0053	0
Singulisphaera acidiphila	466153	0	0	0	0	0	0	0	0	0	0	0.0285	0	0.0016	0	0.0167	0.0028	0	0.004	0	0	0	0	0	0	0	0	0.0049	0	0.0012	0.0015
Corynebacterium sphenisci	191493	0	0	0	0	0	0.0648	0.003	0	0	0	0	0.0013	0	0	0.0019	0	0.0002	0.0022	0	0	0	0	0	0.0013	0.0062	0	0.0017	0	0	0
Edwardsiella hoshinae	93378	0	0	0	0	0	0	0.0124	0	0	0	0.0065	0	0	0	0	0.0016	0	0	0	0	0	0	0	0.0021	0	0	0	0	0	0.0001
Sphingomonas panacis	1560345	0	0	0	0.0536	0	0	0	0	0	0	0	0.0174	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium doosanense	1121358	0	0	0	0	0.0071	0	0	0	0	0.0078	0.0011	0	0.0449	0	0	0	0	0.0016	0	0	0	0	0	0.004	0	0.0073	0	0	0	0.0015
Planococcus antarcticus	161360	0	0	0	0	0	0	0.0429	0.0038	0	0	0	0.0046	0.0064	0	0	0	0	0.0013	0	0	0	0	0.0007	0	0.0074	0	0	0	0.002	0.0053
Nitrosococcus halophilus	133539	0	0	0	0	0	0	0.0187	0	0	0.0279	0	0	0	0.001	0.0143	0	0	0.0015	0	0	0	0	0	0.0032	0	0	0.0034	0	0.0011	0
Oceanicoccus sagamiensis	716816	0	0	0	0	0.016	0	0	0	0	0	0.0041	0.0133	0.0355	0	0	0	0.0012	0	0	0	0	0.0044	0	0	0	0	0.0106	0.0004	0.0018	0.0009
Magnetospirillum gryphiswaldense	55518	0.0418	0	0	0	0	0	0	0	0.012	0	0	0	0.0012	0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024
Syntrophomonas wolfei	863	0	0	0	0.003	0	0.041	0	0	0	0	0	0	0.0009	0	0	0.0001	0.0003	0.0008	0	0	0	0	0.0082	0	0	0	0	0	0.0004	0
Oscillibacter valericigenes	351091	0	0	0	0	0	0	0.0226	0	0	0	0	0	0	0	0	0	0.0003	0.0013	0	0	0	0	0	0	0	0	0	0.0013	0.0007	0
Acidaminococcus fermentans	905	0	0.0506	0	0	0	0.0069	0	0	0	0	0	0	0	0.0003	0	0	0.0011	0	0	0	0	0	0	0	0	0	0.0004	0	0.004	0
Azotobacter chroococcum	353	0	0	0	0	0	0	0	0	0	0	0.0145	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0	0	0.0014
Gramella salexigens	1913577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032	0	0	0	0	0	0	0.0057	0	0	0.0307	0	0	0	0
Chloracidobacterium thermophilum	458033	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	0.0028	0	0	0.0006	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium atypicum	191610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0.0053	0	0	0	0.0023	0.0007	0	0	0.0005	0.0025
Vibrio furnissii	29494	0	0	0	0.0611	0	0	0	0	0	0.0068	0	0	0	0	0	0.0015	0.0015	0.0021	0	0	0	0	0	0	0	0	0	0	0	0
Tannerella forsythia	28112	0	0	0	0	0	0.0156	0	0	0	0	0.0093	0	0	0.0015	0.0032	0.0007	0	0.0007	0	0	0	0	0	0.0063	0	0	0	0	0	0.0016
Mycobacterium parmense	185642	0	0	0	0	0	0	0	0.0401	0	0	0	0	0	0	0	0.0029	0.0044	0.0013	0	0	0	0	0	0	0	0	0	0.0081	0	0.0031
Fimbriimonas ginsengisoli	1005039	0	0	0	0	0	0	0.0208	0	0.0057	0	0	0	0	0.0025	0	0.0015	0	0.0014	0	0	0	0	0	0	0.0013	0	0	0.0013	0.0011	0
Microbulbifer aggregans	1769779	0	0.0461	0	0.0036	0	0	0	0	0	0	0	0.0121	0.0009	0	0	0	0	0	0	0	0	0.0892	0	0	0.0031	0	0	0	0	0
Gramella forsetii	411153	0	0	0	0	0	0.0209	0	0	0	0	0	0	0.0009	0	0	0.0018	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaerotilus natans	34103	0.0219	0	0	0.0176	0	0	0.0183	0	0	0	0	0	0.0057	0	0	0	0.0028	0.0015	0	0	0	0	0	0.0085	0.0007	0	0.0023	0	0	0.0101
Caldilinea aerophila	133453	0	0	0	0	0	0	0.0035	0	0	0	0	0	0.0569	0	0	0	0	0	0	0	0	0	0	0.0465	0	0	0.0008	0	0.0046	0
Shewanella oneidensis	70863	0	0	0	0	0.0153	0	0	0	0	0	0	0.0031	0	0	0	0	0.0074	0.0017	0	0	0	0	0	0	0	0	0.0051	0	0	0.0009
Coraliomargarita akajimensis	395922	0	0	0	0	0	0	0.0467	0	0	0	0	0	0	0	0	0.0005	0	0.0038	0	0	0	0	0	0	0.0004	0	0	0	0	0.0036
Legionella anisa	28082	0	0	0	0	0	0.0121	0	0	0.0087	0	0	0.0063	0	0.0325	0.0049	0	0.0018	0	0	0	0	0	0	0	0	0	0.0077	0	0.0007	0.0004
Phaeobacter inhibens	221822	0	0	0	0	0.0068	0	0	0	0.0275	0	0	0	0	0.0024	0	0.0011	0.0004	0	0.0001	0	0	0	0	0	0.0068	0	0	0	0	0
Salinibacter ruber	146919	0	0	0.0252	0	0	0.0068	0	0	0	0	0	0.0055	0	0	0	0	0.0027	0	0	0	0	0	0.0204	0	0.0062	0	0	0	0	0
Allochromatium vinosum	1049	0	0	0	0	0	0	0	0	0	0	0.0016	0	0.0578	0.0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyrivibrio proteoclasticus	43305	0	0	0	0	0	0	0	0.0591	0	0	0.0009	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0
Myxococcus hansupus	1297742	0	0	0	0	0.0484	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0046	0	0.0093	0	0	0.0088	0	0	0	0
Nitrosomonas ureae	44577	0	0	0.0626	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0	0	0	0.0145	0.0015	0	0.0021	0.0017	0	0	0
Legionella fallonii	96230	0	0	0	0	0.0274	0	0	0	0	0.0046	0.0001	0	0.0018	0.0039	0	0.0053	0.0008	0	0	0	0.0039	0	0	0	0	0	0.0147	0	0	0.0001
Ferriphaselus amnicola	1188319	0.0482	0	0	0	0	0	0	0	0	0	0	0	0.0013	0.0031	0.003	0.0022	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0.0004
Pseudomonas knackmussii	65741	0	0	0	0	0	0	0	0	0	0	0	0	0.0067	0.0055	0	0.0022	0.0004	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobacillus isosaccharinicus	1532552	0	0.0388	0	0	0	0	0	0	0	0	0	0.0058	0	0	0	0.0006	0	0.0021	0	0	0	0	0	0.0391	0	0.0049	0	0	0.0084	0.0016
Dietzia timorensis	499555	0	0	0.0248	0	0	0	0	0.0374	0	0	0	0	0	0	0.0006	0	0	0	0	0	0	0.0044	0	0	0	0	0.0063	0	0.0147	0
Actinoplanes friuliensis	196914	0	0	0	0	0	0	0	0.0169	0	0	0.0064	0	0	0.009	0.0041	0.0031	0.0021	0.003	0	0	0	0	0	0	0	0	0	0	0	0.0073
Bordetella holmesii	35814	0	0	0	0	0	0	0	0.0068	0.0219	0.0077	0	0	0	0	0	0.0002	0	0.0022	0	0	0	0.0081	0	0	0	0.0007	0	0	0.0004	0
Nocardia seriolae	37332	0	0	0	0	0.0256	0.0154	0	0	0	0	0	0.0002	0	0.001	0	0	0.0024	0	0	0	0	0.0001	0	0	0.0016	0	0	0	0	0.0012
Bordetella trematum	123899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0073	0	0.0004	0	0	0	0	0	0.0443	0	0	0	0	0	0	0.0022
Marinomonas mediterranea	119864	0	0	0	0	0	0	0	0	0	0	0	0.0404	0	0	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0	0.0015	0
Mycobacterium xenopi	1789	0	0	0	0	0	0	0	0.0245	0.0115	0	0	0	0	0	0.0045	0.0035	0	0.0046	0	0	0	0	0	0.0055	0	0	0	0	0	0.0006
Bradyrhizobium japonicum	375	0	0	0	0	0	0	0	0	0	0	0.0207	0	0.0102	0	0	0.0017	0.002	0.0026	0	0	0	0	0	0	0	0.0113	0	0	0	0
Geobacter pickeringii	345632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0	0.0005	0	0	0	0	0	0	0.0019	0.0005	0.0006	0	0	0	0.004
Halomonas huangheensis	1178482	0	0	0	0	0	0	0	0	0	0	0.0087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031	0.0015
Roseburia hominis	301301	0	0	0	0	0	0.0365	0.0107	0	0	0	0.0052	0.0028	0	0	0	0.0005	0.0022	0.0001	0	0	0	0	0	0	0	0	0.003	0	0.0005	0
Pseudoalteromonas tunicata	314281	0	0	0	0	0	0.0264	0	0	0	0	0	0	0	0	0	0.0028	0.0048	0	0	0	0	0	0	0	0.0026	0	0	0	0.0005	0.0021
Cupriavidus oxalaticus	96344	0	0	0	0	0	0	0.0056	0	0	0	0	0	0	0.006	0.0066	0.0086	0.0023	0.0274	0	0	0	0	0	0	0	0.0027	0	0	0	0.0039
Methylobacterium nodulans	114616	0	0	0	0	0	0	0	0	0	0	0	0.0083	0	0	0	0	0	0.0011	0	0	0	0	0	0.0022	0	0	0	0.0037	0	0.0006
Leadbetterella byssophila	316068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007	0	0	0.0005	0	0	0	0	0	0	0	0	0	0	0	0.0018
Bacteroides helcogenes	290053	0	0.0262	0	0	0	0	0	0	0	0.0218	0	0	0	0	0	0.003	0.0009	0.0003	0	0	0	0	0	0	0	0	0.0048	0	0	0
Clostridium saccharoperbutylacetonicum	36745	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0.0026	0.0022	0.0017	0	0	0	0	0	0	0	0	0	0	0	0.0015	0.0043
Rubrobacter radiotolerans	42256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057	0	0	0.0029	0.0023	0	0	0
Azotobacter vinelandii	354	0	0	0	0.0231	0	0	0	0	0	0.0119	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0.0105	0	0
Ferrimonas balearica	44012	0	0	0	0.0312	0	0	0	0	0	0	0.0069	0	0.0005	0	0	0	0	0	0.0177	0	0	0	0	0	0	0	0.0045	0.001	0.001	0
Sebaldella termitidis	826	0	0	0	0	0	0	0.0438	0	0	0	0	0	0	0	0	0.0023	0.0006	0	0	0	0	0	0	0	0	0	0	0	0.0008	0
Yersinia aldovae	29483	0	0	0	0.0408	0	0	0	0	0	0.0089	0	0	0	0	0	0	0.0027	0.0005	0	0	0	0	0	0	0	0.0039	0	0	0	0
Xanthomonas translucens	343	0	0	0	0	0	0	0	0.0153	0	0.0093	0.0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057
Polaromonas naphthalenivorans	216465	0	0	0	0.0325	0	0	0	0	0.0023	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0044	0.0024
Corynebacterium stationis	1705	0	0	0	0	0	0	0.0007	0	0	0	0.0546	0	0	0	0	0	0.0006	0.0015	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus graminis	189425	0	0	0	0	0	0	0	0.0141	0.0068	0	0	0.0111	0.0014	0	0	0.0017	0.0044	0.0024	0	0	0	0	0	0	0	0	0	0	0.0025	0.0012
Cronobacter condimenti	1163710	0	0	0.0337	0.0092	0	0	0	0	0	0	0	0	0	0.0006	0	0.0029	0.0006	0.0013	0	0	0	0	0	0	0	0	0	0	0.0005	0
Solitalea canadensis	995	0	0	0	0	0	0.0055	0.0058	0	0	0	0	0.0064	0	0	0	0	0.0031	0.012	0	0	0	0	0	0	0.002	0.0856	0	0	0	0
Clostridium saccharobutylicum	169679	0	0	0	0	0	0	0	0.0145	0	0	0	0	0	0	0	0.0036	0.0013	0.0011	0	0	0	0	0	0	0	0	0	0	0	0
