unique_name	taxid	S_Normal_100_102M	S_Normal_100_17M	S_Normal_100_34M	S_Normal_100_68M	S_Normal_100_8M	S_Normal_150_102M	S_Normal_150_17M	S_Normal_150_34M	S_Normal_150_68M	S_Normal_150_8M	S_Normal_200_102M	S_Normal_200_17M	S_Normal_200_34M	S_Normal_200_68M	S_Normal_200_8M	S_Normal_25_102M	S_Normal_25_17M	S_Normal_25_34M	S_Normal_25_68M	S_Normal_25_8M	S_Normal_400_102M	S_Normal_400_17M	S_Normal_400_34M	S_Normal_400_68M	S_Normal_400_8M	S_Normal_50_102M	S_Normal_50_17M	S_Normal_50_34M	S_Normal_50_68M	S_Normal_50_8M
Rufibacter tibetensis	512763	0	0	0.002151	0	0	0	0	0.02345	0	0.0008931	0	0.01412	0	0	0	0	0.008005	0	0	0	0.001548	0	0	0.002872	0	0	0.09966	0	0	0
Sanguibacter keddieii	60920	0	0	0	0	0	0	0	0	0	0	0	0	0.00118	0	0	0.02312	0	0	0	0.1189	0	0	0.0007506	0	0	0	0.006984	0	0	0
Nocardiopsis alba	53437	0	0	0	0	0	0	0	0	0	0	0	0.004206	0	0	0.003849	0	0	0	0	0	0	0.0003276	0.002988	0	0	0	0	0.1258	0	0
Herbaspirillum hiltneri	341045	0	0	0	0	0	0	0.008542	0	0	0.002729	0.002212	0	0	0	0	0	0	0	0.113	0	0.002635	0.0008457	0.002051	0	0.003461	0	0	0	0	0
Kribbella flavida	182640	0.03531	0	0.008181	0	0	0	0	0	0	0	0	0.002141	0	0	0.009193	0	0	0.05514	0	0	0	0.009611	0.002192	0.0002868	0	0	0.008357	0	0	0
Collimonas pratensis	279113	0	0	0	0	0	0	0	0	0.007042	0	0	0	0	0	0	0	0	0.1137	0	0	0	0	0.004288	0.001518	0.002738	0	0	0	0	0
Planococcus plakortidis	1038856	0.006428	0	0	0	0	0	0.005463	0	0	0	0	0	0	0	0	0	0	0.1073	0	0	0	0.005262	0	0	0.003845	0	0	0	0	0
Isosphaera pallida	128	0.03616	0.009195	0	0	0	0	0	0	0	0	0.0007769	0.001408	0	0.001911	0.00934	0	0	0	0	0	0.003897	0	0.01177	0	0.009397	0	0	0	0.04145	0
Mycobacterium florentinum	292462	0.03761	0	0	0	0.05998	0.005331	0	0	0	0	0	0.001133	0	0.0004981	0.01196	0	0	0	0	0	0.00275	0	0	0.001742	0.00325	0	0	0	0	0
Haliscomenobacter hydrossis	2350	0	0	0	0	0	0	0	0.01803	0	0	0	0.007229	0	0.007537	0	0	0.08425	0	0	0	0	0.003262	0.003561	0	0	0	0	0	0	0
Streptomyces ambofaciens	1889	0	0	0	0	0	0	0.00326	0	0	0	0	0	0.008037	0	0	0	0.1019	0	0	0	0	0.005142	0	0.001305	0.002305	0	0	0	0	0
Gemmatirosa kalamazoonesis	861299	0	0	0	0	0.05548	0	0.04873	0	0.003572	0	0	0.007223	0	0	0	0	0	0	0	0	0.001735	0.001152	0	0.003411	0	0	0	0	0	0
Solitalea canadensis	995	0	0	0	0	0.005697	0.006296	0.002023	0.08532	0	0	0	0	0	0	0	0	0	0	0	0	0.01187	0	0	0.00304	0	0.005437	0	0	0	0
Leptotrichia wadei	157687	0	0	0	0	0	0	0	0	0	0.00201	0	0.00001356	0	0.001022	0	0	0	0	0	0	0.0004285	0.0007593	0.0008274	0	0	0.1137	0	0	0	0
Polaribacter vadi	1774273	0	0	0	0	0	0	0	0	0	0	0.1046	0	0	0	0	0	0	0	0	0	0.00104	0.0002771	0	0	0	0.01081	0	0	0	0
Actinoalloteichus hymeniacidonis	340345	0	0	0	0	0	0	0.01081	0	0	0.02518	0.01387	0	0	0	0.03697	0	0	0	0	0	0.003966	0.00595	0	0.01786	0	0	0	0	0	0
Sphingobium herbicidovorans	76947	0	0	0	0.007037	0	0	0	0	0	0	0	0	0	0	0	0.01638	0	0	0	0	0.001414	0	0	0.0006673	0	0.08907	0	0	0	0
Sphingobium cloacae	120107	0	0.002622	0	0	0	0	0.01934	0	0	0	0	0	0	0.005449	0	0.05942	0	0	0	0	0.0008983	0	0	0.001251	0.0006752	0	0	0	0.02447	0
Terriglobus saanensis	870903	0	0	0	0	0	0	0	0	0	0.006181	0	0	0	0	0	0	0.09391	0	0	0	0.003308	0	0.007253	0.002679	0	0	0	0	0	0
Caldilinea aerophila	133453	0	0	0.04626	0	0.003455	0	0	0	0	0	0	0.0007809	0	0	0.05651	0	0	0	0	0	0	0.004599	0	0	0	0	0	0	0	0
Hymenobacter swuensis	1446467	0	0	0	0.01225	0	0	0	0	0.008558	0	0	0.001324	0	0.009399	0	0	0	0	0.03778	0.02966	0	0.006328	0	0.005835	0	0	0	0	0	0
Bradyrhizobium paxllaeri	190148	0	0	0	0.006518	0.05466	0	0	0	0	0	0	0	0	0.02747	0	0	0	0	0	0	0.01214	0	0.002136	0.007488	0	0	0	0	0	0
Robiginitalea biformata	252307	0	0	0	0	0	0	0	0	0	0	0.003136	0	0	0	0	0	0	0	0	0	0	0	0	0.003136	0.00454	0	0	0	0.0969	0
Paludisphaera borealis	1387353	0	0	0	0	0	0	0	0	0.004057	0	0	0.05384	0.03411	0	0.002293	0	0	0	0	0	0.003589	0.002958	0	0.004201	0	0	0	0	0	0
Elizabethkingia meningoseptica	238	0	0	0.04016	0	0	0.001442	0	0	0	0	0.006217	0	0.007194	0.003109	0	0	0	0	0	0	0	0.003489	0	0	0	0	0	0.01925	0	0.02378
Lacinutrix venerupis	1486034	0	0	0	0	0	0	0	0	0	0	0.006581	0	0.005051	0	0	0	0.08669	0	0	0	0.001408	0	0.001195	0.001259	0	0	0	0	0	0
Thermacetogenium phaeum	85874	0	0	0	0.0165	0.06004	0	0	0	0	0	0	0.006667	0	0	0	0	0	0	0.01134	0	0	0.001984	0.00344	0.0006525	0.001354	0	0	0	0	0
Paracoccus denitrificans	266	0	0.001634	0.003116	0	0.01109	0	0.0001	0	0	0	0	0	0.002638	0	0	0	0	0.07942	0	0	0	0.00001153	0.0008365	0.002977	0	0	0	0	0	0
Anaerobacillus isosaccharinicus	1532552	0	0	0.03883	0	0	0.005748	0	0.004904	0	0	0	0	0	0	0	0	0	0	0.03865	0	0.002088	0.008326	0.001625	0	0.0005855	0	0	0	0	0
Stanieria cyanosphaera	102116	0	0	0	0.07267	0	0	0	0.004462	0	0.004073	0.002044	0	0.01014	0	0	0	0	0	0	0	0	0	0.001684	0.001499	0.003151	0	0	0	0	0
Gloeobacter violaceus	33072	0	0	0.002405	0	0	0	0	0	0	0	0.01398	0.002014	0.004512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07624	0	0
Saccharopolyspora spinosa	60894	0.008824	0	0	0	0	0	0	0	0	0	0	0	0.05822	0	0	0	0	0	0	0	0.00187	0.007715	0	0	0.0005791	0	0	0.0193	0	0
Roseomonas gilardii	257708	0	0	0.007069	0	0	0	0.02256	0.05378	0	0	0	0.001079	0	0	0	0	0	0	0	0	0.001614	0	0.0003916	0.007185	0.00129	0	0	0	0	0
Vibrio tubiashii	29498	0	0	0	0.02493	0	0	0	0.003091	0	0	0	0	0.003425	0	0	0	0	0	0	0	0	0.0005561	0	0.02259	0	0	0	0	0	0.03969
Streptomyces griseochromogenes	68214	0	0	0	0	0	0	0.009269	0.008595	0	0.005815	0.005166	0	0	0	0	0	0.00001438	0	0	0	0.004209	0.004027	0	0.01199	0	0	0	0.04443	0	0
Ignavibacterium album	591197	0.004368	0.07635	0	0	0.004202	0	0	0	0	0.00232	0	0	0.003725	0	0	0	0	0	0	0	0	0	0.001886	0	0.0002157	0	0	0	0	0
Frankia inefficax	298654	0	0.05791	0	0	0.01355	0	0	0	0	0	0	0.01176	0	0	0	0	0	0	0	0	0	0	0	0.007614	0.001812	0	0	0	0	0
Glutamicibacter halophytocola	1933880	0.003538	0	0.02946	0.002042	0	0	0	0	0.01001	0.03626	0	0	0	0	0.003208	0	0	0	0	0	0	0	0.00337	0	0.003953	0	0	0	0	0
Shewanella woodyi	60961	0	0	0.02837	0	0	0	0	0	0	0	0	0.001806	0.009673	0	0	0	0	0	0	0	0.005641	0	0.000322	0.002207	0.02005	0	0	0.02308	0	0
Pseudonocardia dioxanivorans	240495	0	0	0	0	0	0	0	0.006484	0.06067	0	0.006205	0	0.005115	0	0	0	0	0	0	0	0	0	0.005015	0	0.006948	0	0	0	0	0
Slackia heliotrinireducens	84110	0	0	0.04076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0407	0.006119	0.0006791	0	0	0	0	0	0	0
Flavobacterium gilvum	1492737	0.01248	0	0.01994	0	0	0	0	0	0.006572	0	0	0	0	0	0	0	0.0372	0	0	0	0	0.005067	0	0	0.005496	0	0	0	0	0.001169
Oceanicoccus sagamiensis	716816	0	0	0	0	0	0.01308	0	0	0.004025	0	0	0.01048	0.0004344	0	0.03522	0	0	0	0	0	0	0.001807	0.0009376	0.001219	0	0	0	0.004361	0.01591	0
Roseateles depolymerans	76731	0	0	0	0	0	0	0.01263	0	0	0	0.006486	0	0	0.005589	0	0	0	0	0	0	0	0	0	0.02466	0.0009075	0	0	0	0	0.03712
Saccharomonospora viridis	1852	0	0	0	0	0	0.02879	0.00357	0	0	0	0.006964	0.001517	0	0	0	0.02129	0	0	0	0	0.004023	0.001736	0.002338	0	0	0	0	0	0.0163	0
Neorhizobium galegae	399	0	0	0	0	0	0	0.02665	0	0.01244	0	0	0	0.00001688	0	0	0	0	0	0	0.01452	0	0	0.003404	0.005289	0	0	0	0.02403	0	0
Flavobacterium columnare	996	0	0	0	0.0006552	0	0.00686	0	0	0.02941	0	0	0	0	0.001104	0	0	0.00525	0	0.04092	0	0.0002461	0	0	0	0.001222	0	0	0	0	0
Dietzia timorensis	499555	0	0	0	0.03627	0	0	0	0	0	0	0.0005456	0.00612	0	0	0	0.02405	0	0	0	0	0	0.0143	0	0	0	0	0	0.004208	0	0
Marinobacter salinus	1874317	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005794	0	0	0	0	0	0	0	0.004109	0	0	0.001304	0	0	0	0	0.07377
Xanthomonas vesicatoria	56460	0	0	0	0	0	0	0	0	0	0	0	0	0.0002933	0	0	0.0797	0	0	0	0	0	0	0.00415	0.0007857	0	0	0	0	0	0
Myxococcus hansupus	1297742	0	0.009168	0	0	0.01376	0	0	0.008728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004491	0	0.04782	0
Sphaerotilus natans	34103	0	0	0.00785	0	0.01724	0	0.0006002	0	0	0	0	0.002134	0	0	0.005407	0	0	0	0	0.02068	0.001429	0	0.009261	0.002683	0	0	0	0	0	0.01667
Haematospirillum jordaniae	1549855	0.007894	0.003506	0	0	0	0.003177	0	0	0.01091	0	0	0	0	0.005253	0	0	0	0.01997	0	0	0	0.001565	0	0	0.001055	0	0.02297	0.006806	0	0
Nitrosomonas ureae	44577	0	0.01446	0.001499	0	0	0	0	0.002099	0	0	0	0.001707	0	0	0	0.06249	0	0	0	0	0	0	0	0	0.0004641	0	0	0	0	0
Corynebacterium sphenisci	191493	0	0	0.001251	0	0.003038	0.001258	0.006132	0	0	0	0.001874	0.001638	0	0	0	0	0	0	0	0	0.002184	0	0	0.0002037	0	0.06467	0	0	0	0
Cyclobacterium marinum	104	0	0	0.0128	0	0	0.02013	0	0.02587	0	0	0.002345	0	0	0	0.006177	0	0	0	0	0	0.0007786	0.004744	0	0.003771	0	0	0.004734	0	0	0
Phaeobacter gallaeciensis	60890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08049	0	0	0	0	0	0	0.0004243	0	0	0	0	0	0
Dictyoglomus thermophilum	14	0	0	0	0	0	0	0	0.001332	0.005699	0	0.003725	0	0	0	0	0.06735	0	0	0	0	0.0001975	0.001474	0.000732	0	0	0	0	0	0	0
Erysipelothrix larvae	1514105	0	0	0	0	0	0.001392	0	0	0	0	0.008437	0	0	0	0.001697	0.02826	0	0.02564	0	0	0.0003469	0.01298	0.0006761	0	0	0	0	0	0	0
Chania multitudinisentens	1639108	0.003859	0.00412	0	0.004577	0	0	0	0	0	0	0	0	0.004778	0	0	0	0	0	0	0	0.003858	0	0.001512	0.0005868	0	0	0.05606	0	0	0
Corynebacterium vitaeruminis	38305	0.004044	0	0	0.002288	0	0	0	0	0	0.002259	0	0.002914	0	0	0.004064	0	0	0.04623	0	0	0.0002823	0.0007242	0.00114	0.009776	0.003676	0	0	0	0	0
Rhodoferax antarcticus	81479	0	0	0	0	0	0	0	0	0.00554	0	0	0	0	0	0.008984	0	0.01279	0	0	0	0	0.00565	0.001826	0.003771	0	0	0	0.03876	0	0
Acetobacterium woodii	33952	0	0	0	0	0	0	0	0	0.006138	0	0	0.01106	0	0.002674	0	0	0	0	0	0	0.0009833	0	0	0	0	0	0	0	0.04885	0.007134
Catenulispora acidiphila	304895	0	0	0	0	0	0	0	0	0	0	0	0.00963	0.001453	0	0	0	0	0	0	0	0	0	0.003564	0	0.01117	0	0.03358	0	0	0.01668
Belliella baltica	232259	0	0	0	0.04386	0.006598	0	0.003805	0	0	0	0	0	0	0	0	0.01401	0	0	0	0	0.00287	0	0.0003897	0.002009	0.001536	0	0	0	0	0
Planococcus versutus	1302659	0	0	0	0	0	0	0	0.01446	0	0	0	0.001525	0	0	0	0	0	0	0	0	0.0003707	0	0	0.001348	0.001055	0	0	0	0	0.05579
Paraglaciecola psychrophila	326544	0.009263	0	0	0	0	0.02174	0.0077	0	0	0	0	0	0	0	0	0	0	0.01876	0	0	0.0008152	0	0	0.01594	0	0	0	0	0	0
Turneriella parva	29510	0	0	0	0	0	0	0	0.001932	0	0	0	0.03305	0	0	0.004159	0	0	0.01709	0	0	0.002596	0.002395	0	0	0	0	0	0	0	0.01264
Corynebacterium doosanense	1121358	0	0	0.003895	0	0	0	0	0.007235	0.001068	0.007677	0	0	0	0	0.04393	0	0	0	0	0	0.001557	0	0.00149	0	0	0	0	0	0.006981	0
Labilithrix luteola	1391654	0	0	0	0	0.006548	0	0	0	0	0	0	0.006683	0	0.001492	0	0	0	0	0	0	0.005084	0.006924	0.007371	0.03877	0.0007266	0	0	0	0	0
Desulfocapsa sulfexigens	65555	0	0	0	0	0.003221	0.002591	0.001202	0	0	0	0.001513	0	0	0.01441	0	0	0	0	0	0.04905	0	0	0	0	0.00117	0	0	0	0	0
Planococcus antarcticus	161360	0	0.0006639	0	0.003723	0.04206	0.004472	0.007273	0	0	0	0	0	0	0	0.006332	0	0	0	0	0	0.001233	0.001932	0.005203	0	0	0	0	0	0	0
Acetobacter persici	1076596	0	0	0	0	0	0	0	0.02556	0	0	0	0.001834	0.002892	0	0.004212	0	0	0	0	0	0	0.005336	0.00145	0	0	0.009551	0.0184	0	0.003322	0
Cruoricaptor ignavus	1118202	0	0	0	0	0	0	0	0	0	0	0.0001145	0	0.001241	0.00556	0.0004397	0	0	0	0	0	0.001672	0.001122	0	0	0.0001444	0	0	0.06096	0	0
Legionella anisa	28082	0.00825	0	0	0	0	0.005979	0	0	0	0	0.0047	0.007371	0	0.03078	0	0	0	0	0	0	0	0.0006667	0.0003778	0.001673	0	0.01141	0	0	0	0
Sphingomonas panacis	1560345	0	0	0	0	0	0.01715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001188	0	0	0	0	0	0.05286
Nitrosococcus halophilus	133539	0	0	0.003213	0	0.01845	0	0	0	0	0.0277	0.01416	0.003399	0	0.0009902	0	0	0	0	0	0	0.001528	0.001107	0	0	0	0	0	0	0	0
Vibrio furnissii	29494	0	0	0	0	0	0	0	0	0	0.006521	0	0	0	0	0	0	0	0	0	0	0.001942	0	0	0.001451	0.001407	0	0	0	0	0.05789
Dyadobacter fermentans	94254	0	0	0	0	0	0	0	0	0	0.006129	0	0	0	0	0.01208	0	0	0	0	0	0	0	0	0.004791	0.04593	0	0	0	0	0
Asticcacaulis excentricus	78587	0	0	0.01058	0	0.003494	0.003575	0.02391	0	0	0	0	0	0.01001	0.01247	0	0	0	0	0	0	0	0.003648	0	0.001089	0	0	0	0	0	0
Methylacidiphilum kamchatkense	431057	0	0	0	0	0	0	0	0	0	0.009857	0	0	0	0.0006095	0	0	0	0	0.05652	0	0	0.0004571	0	0	0.001008	0	0	0	0	0
Aromatoleum aromaticum	551760	0	0.003089	0	0	0	0	0	0	0.02164	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001112	0.004986	0	0	0	0.03583	0	0
Chromobacterium violaceum	536	0	0	0	0	0	0	0	0	0.007076	0	0	0.001498	0	0.02231	0.005222	0	0	0	0	0	0	0.00151	0.00001229	0	0.003626	0	0	0	0.02517	0
Salinibacter ruber	146919	0	0.02033	0	0	0	0.005421	0.006146	0	0	0	0	0	0	0	0	0.02516	0	0	0	0	0	0	0	0.002656	0	0.006704	0	0	0	0
Methylocella silvestris	199596	0	0	0	0	0	0	0	0.01187	0.01164	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001007	0	0.003908	0	0	0	0.0379	0
Nautilia profundicola	244787	0.0137	0	0	0	0.00404	0	0	0	0.001505	0	0	0.003169	0	0	0.004109	0	0	0	0	0	0.0001685	0	0	0	0.0002156	0.01203	0	0.02618	0	0
Aerococcus urinaehominis	128944	0	0	0	0.06147	0	0	0.0003766	0.001167	0	0	0	0	0	0.0005862	0	0	0	0	0	0	0	0	0	0	0.001098	0	0	0	0	0
Hydrogenophaga crassostreae	1763535	0	0	0	0.004927	0	0	0.0107	0	0.01251	0	0	0	0	0	0.02222	0	0	0	0	0	0.004472	0.005226	0.001193	0	0.003427	0	0	0	0	0
Niabella ginsenosidivorans	1176587	0	0	0	0	0.02964	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008646	0.008093	0	0	0	0	0	0
Archangium gephyra	48	0	0.0122	0	0.003474	0	0	0	0	0	0	0	0.01738	0	0	0.004409	0	0	0	0	0	0.01654	0	0.01046	0	0	0	0	0	0	0
Desulfomicrobium baculatum	899	0.004648	0	0.03979	0	0	0	0	0	0	0.0008427	0.00112	0	0.00585	0	0.001001	0	0	0	0	0	0.002499	0	0	0.003274	0.005366	0	0	0	0	0
Shewanella psychrophila	225848	0	0	0.003682	0.004127	0	0	0	0.0001069	0	0.005195	0	0	0	0.004777	0	0	0.04029	0	0	0	0	0	0.004422	0.001131	0	0	0	0	0	0
Mycobacterium paraseoulense	590652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009593	0	0	0	0	0.02531	0	0	0.02848	0
Desulfurivibrio alkaliphilus	427923	0	0	0	0.009154	0	0	0	0.01614	0	0	0	0.002488	0.0004065	0	0	0	0	0	0	0	0.0001833	0	0.004424	0.004625	0	0.001497	0	0	0	0.02435
Acidaminococcus fermentans	905	0	0	0	0	0	0	0	0	0	0	0	0.0004201	0	0.0003106	0	0	0	0	0.05043	0	0	0.003983	0	0.001081	0	0.006799	0	0	0	0
Allochromatium vinosum	1049	0	0	0	0	0	0	0	0	0.001585	0	0	0	0	0.004138	0.05707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ferrimonas balearica	44012	0	0	0	0	0	0	0	0	0.006878	0	0	0.004488	0.001037	0	0.0004723	0	0.01769	0	0	0	0	0.001025	0	0	0	0	0	0	0	0.03079
Hyphomicrobium nitrativorans	1427356	0	0.0328	0.009909	0	0	0	0.003576	0	0.001937	0	0.0008497	0.0019	0	0	0.001207	0	0	0	0	0	0	0.008181	0.0002732	0.001527	0	0	0	0	0	0
Polaribacter reichenbachii	996801	0	0.002113	0	0	0	0.004083	0	0	0	0	0	0	0	0.01261	0.001475	0	0	0	0	0	0	0.00256	0	0	0.0004809	0	0.03852	0	0	0
Legionella fallonii	96230	0	0	0	0	0	0	0	0	0.0001115	0.00458	0	0.0144	0	0.003829	0.001783	0	0	0	0	0	0	0	0.00006165	0.0007495	0.005266	0	0.003851	0	0.02717	0
Butyrivibrio proteoclasticus	43305	0	0	0	0.05869	0	0	0	0	0.0008564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001527	0	0	0	0	0	0
Cupriavidus oxalaticus	96344	0	0	0	0	0.00529	0	0	0.002651	0	0	0.006379	0	0	0.005811	0	0	0	0	0	0	0.02658	0	0.003737	0.002236	0.008293	0	0	0	0	0
Singulisphaera acidiphila	466153	0	0	0	0	0	0	0	0	0.02836	0	0.01653	0.004836	0	0	0.001579	0	0	0	0	0	0.00394	0.001149	0.001436	0	0.00276	0	0	0	0	0
Rathayibacter tritici	33888	0	0	0	0.02286	0	0	0	0	0	0	0	0	0.00567	0.0009555	0	0	0	0	0	0	0	0.001082	0.005676	0	0	0	0	0.02425	0	0
Acetobacter pasteurianus	438	0.002259	0	0	0	0	0	0.0219	0	0.008629	0	0	0.001275	0	0	0.002306	0	0.02204	0	0	0	0.001365	0	0	0	0.0005222	0	0	0	0	0
Bradyrhizobium oligotrophicum	44255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00416	0.008509	0	0.01194	0	0.03531	0	0	0
Granulibacter bethesdensis	364410	0	0	0	0.006225	0	0	0	0.00554	0	0	0.004394	0.0008313	0	0.003998	0	0	0	0	0	0	0	0	0.001586	0	0.0007672	0	0	0	0	0.03648
Niastella koreensis	354356	0.004966	0	0	0	0	0	0.009775	0	0	0	0	0	0.01176	0	0	0	0	0	0	0	0.006344	0.02364	0.002639	0.000469	0	0	0	0	0	0
Bordetella avium	521	0.04937	0	0	0	0	0	0	0	0	0.0007507	0	0.004885	0	0	0	0	0	0	0	0	0.003494	0	0	0	0.001075	0	0	0	0	0
Acaryochloris marina	155978	0	0	0	0	0	0	0	0.00941	0	0.00678	0	0	0	0.009037	0.007984	0	0	0	0	0	0.003908	0.003252	0.005857	0.01318	0	0	0	0	0	0
Chryseobacterium indoltheticum	254	0.006457	0	0	0	0.009687	0.002321	0.00002121	0	0	0	0.0002427	0.004272	0.00006599	0.01104	0	0	0	0	0.02285	0	0	0	0	0.0007291	0.001419	0	0	0	0	0
Ferriphaselus amnicola	1188319	0	0	0	0	0	0	0.001505	0	0	0	0.002989	0	0	0.003015	0.001323	0	0	0	0	0.04765	0	0	0.0003878	0	0.002201	0	0	0	0	0
Magnetospirillum gryphiswaldense	55518	0.01189	0	0	0	0	0	0	0	0	0	0	0	0	0.002582	0.001181	0	0	0	0	0.04092	0	0	0.002317	0	0	0	0	0	0	0
Corynebacterium efficiens	152794	0	0.003452	0	0	0	0	0	0.003366	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001028	0	0	0.001168	0	0.007078	0	0.04264	0
Roseburia hominis	301301	0	0	0	0	0.01009	0.00265	0	0	0.004917	0	0	0.002884	0	0	0	0	0	0	0	0	0.0001227	0.0004843	0	0.002094	0.0004507	0.03429	0	0	0	0
Halomonas elongata	2746	0.01518	0	0.01579	0	0	0	0.001721	0	0	0	0	0	0.01289	0	0	0	0	0	0	0	0	0	0	0.0003229	0.0002731	0	0	0	0	0.01075
Mycobacterium parmense	185642	0	0	0	0.03784	0	0	0	0	0	0	0	0	0.007663	0	0	0	0	0	0	0	0.001208	0	0.002896	0.004168	0.002826	0	0	0	0	0
Desulfomonile tiedjei	2358	0	0	0.03457	0	0	0	0	0	0	0.01583	0.002116	0	0	0	0	0	0	0	0	0	0	0	0.002533	0.0008729	0.0004895	0	0	0	0	0
Bacteroides helcogenes	290053	0	0	0	0	0	0	0	0	0	0.02156	0	0.004708	0	0	0	0	0	0	0.02592	0	0.0003331	0	0	0.0009329	0.002934	0	0	0	0	0
Corynebacterium imitans	156978	0	0	0	0	0.0008099	0	0.04155	0	0	0.008678	0	0	0	0	0.0009242	0	0	0	0	0	0.00306	0.0005743	0	0	0.0007764	0	0	0	0	0
Corynebacterium stationis	1705	0	0	0	0	0.0006375	0	0	0	0.05296	0	0	0	0	0	0	0	0	0	0	0	0.001451	0	0	0.0005772	0	0	0	0	0	0
Echinicola vietnamensis	390884	0.007783	0	0	0	0	0	0	0	0.01663	0	0	0	0.01002	0.0005887	0	0	0	0	0	0	0.006008	0	0	0	0.004273	0	0	0	0.00985	0
