name	Simulation_left_010_007_5M_bracken	Simulation_left_020_007_5M_bracken	Simulation_left_050_007_5M_bracken	Simulation_left_100_007_5M_bracken	Simulation_left_150_007_5M_bracken	Simulation_left_200_007_5M_bracken	Simulation_left_250_007_5M_bracken	Simulation_left_300_007_5M_bracken	Simulation_left_500_007_5M_bracken	Simulation_left_010_015M_bracken	Simulation_left_020_015M_bracken	Simulation_left_050_015M_bracken	Simulation_left_100_015M_bracken	Simulation_left_150_015M_bracken	Simulation_left_200_015M_bracken	Simulation_left_250_015M_bracken	Simulation_left_300_015M_bracken	Simulation_left_500_015M_bracken	Simulation_left_010_030M_bracken	Simulation_left_020_030M_bracken	Simulation_left_050_030M_bracken	Simulation_left_100_030M_bracken	Simulation_left_150_030M_bracken	Simulation_left_200_030M_bracken	Simulation_left_250_030M_bracken	Simulation_left_300_030M_bracken	Simulation_left_500_030M_bracken	Simulation_left_010_045M_bracken	Simulation_left_020_045M_bracken	Simulation_left_050_045M_bracken	Simulation_left_100_045M_bracken	Simulation_left_150_045M_bracken	Simulation_left_200_045M_bracken	Simulation_left_250_045M_bracken	Simulation_left_300_045M_bracken	Simulation_left_500_045M_bracken	Simulation_left_010_090M_bracken	Simulation_left_020_090M_bracken	Simulation_left_050_090M_bracken	Simulation_left_100_090M_bracken	Simulation_left_150_090M_bracken	Simulation_left_200_090M_bracken	Simulation_left_250_090M_bracken	Simulation_left_300_090M_bracken	Simulation_left_500_090M_bracken	Simulation_left_010_150M_bracken	Simulation_left_020_150M_bracken	Simulation_left_050_150M_bracken	Simulation_left_100_150M_bracken	Simulation_left_150_150M_bracken	Simulation_left_200_150M_bracken	Simulation_left_250_150M_bracken	Simulation_left_300_150M_bracken	Simulation_left_500_150M_bracken
Syntrophobotulus glycolicus	0	0	0	0	0	0	0	0	0	0	0	0.0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028	0.0002	0	0	0	0	0	0	0	0.0005
Kosakonia cowanii	0	0	0	0.0102	0.0001	0.0001	0	0	0	0	0	0.0001	0.0002	0	0	0	0.0001	0.0002	0	0	0.0001	0	0	0	0	0.0002	0	0	0	0	0	0	0	0.0001	0	0	0.0049	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0.0001	0
Streptomyces fradiae	0.0023	0.0062	0	0.0049	0.0071	0.0117	0.0008	0.0082	0.0013	0	0.0041	0.0047	0.0005	0.0034	0.0032	0.0091	0.0044	0.0129	0	0.0006	0.0003	0.0089	0.0022	0.0032	0.0027	0.0019	0.0021	0.0061	0.0078	0.0022	0.0017	0.0014	0.003	0.0019	0.0082	0.0029	0.003	0.0189	0.0082	0.0116	0.0105	0.0063	0.0029	0.0023	0.0043	0.0002	0.015	0.0178	0.0036	0.0013	0.002	0.0013	0.0064	0.0024
Achromobacter spanius	0.0001	0	0	0	0.0003	0.0001	0.0001	0	0.0001	0	0.0001	0.0001	0.0001	0	0	0	0	0.0002	0	0	0.0001	0	0	0.0001	0	0.0001	0.0001	0.0001	0.0001	0	0	0.0007	0.0199	0.0001	0.0001	0.0001	0.0001	0.0001	0	0	0.0001	0.0001	0.0001	0	0	0	0	0	0.0001	0.0001	0.0008	0	0	0.0001
Paenibacillus sp. FSL H7-0357	0	0	0.0016	0	0.0001	0	0.0001	0	0	0	0	0.0001	0	0.0001	0	0	0	0	0	0	0	0	0	0.0002	0	0.0003	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0.0001	0	0.0001	0	0	0	0.1127	0.0001	0	0	0.0007	0	0.0001	0	0	0	0.0002
Vibrio tritonius	0	0	0.0001	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0
Nocardioides sp. 603	0.0002	0	0.0003	0.0001	0.0001	0.0008	0	0.0001	0.0001	0	0.0001	0	0	0	0	0.0001	0	0.0001	0	0.0001	0	0.0001	0.0003	0.0001	0.0001	0	0.0038	0.001	0.0001	0.0001	0.0002	0	0.0002	0.0001	0	0.0002	0.0001	0	0	0	0	0	0.0001	0	0.0002	0	0.0001	0.0001	0	0	0.0004	0	0.0001	0.0001
Pseudoalteromonas spongiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0.0001	0	0	0.0031
Rathayibacter toxicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0	0	0	0	0	0.0045	0	0	0	0	0	0	0	0	0
Confluentimicrobium sp. EMB200-NS6	0.0001	0	0	0.0002	0.0003	0.0004	0.0003	0.0002	0.0004	0.0008	0.0001	0.0003	0.0004	0.0004	0.0003	0.0004	0.0001	0.0002	0.0001	0.0001	0	0.0001	0.0003	0.0003	0.0008	0.0001	0.0001	0	0	0	0.0002	0	0.0004	0.0001	0.0001	0.0001	0	0	0	0.0003	0.0002	0.0005	0.0001	0	0.0003	0	0.0004	0.0001	0.0002	0.0002	0.0002	0.0002	0.0007	0.0002
Paenibacillus sp. 37	0	0	0.0001	0	0	0	0	0	0.0009	0	0	0	0	0	0	0	0.001	0.0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0.0001	0.0097	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium shandongense	0	0	0	0	0.0001	0.0001	0.0001	0.002	0.0001	0.2541	0	0.001	0.0014	0.0004	0.0002	0.0004	0.0001	0.0004	0	0	0.0006	0	0	0	0	0	0	0	0	0	0.0003	0.0003	0	0.0006	0.0005	0.0002	0.0006	0	0	0	0.0004	0.0001	0	0.0001	0.0002	0	0.0092	0	0.0004	0	0	0.0001	0.0001	0.0005
Candidatus Methylopumilus universalis	0	0	0	0	0	0	0	0	0	0.2758	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nonomuraea sp. ATCC 55076	0.0001	0.0002	0.0003	0.0223	0.0016	0.0067	0.0001	0.0008	0.0002	0	0.0002	0.0003	0.0001	0.0017	0.0001	0.0072	0.0027	0.0048	0	0.0001	0	0.0027	0.0002	0.0001	0.0012	0.0002	0.0047	0.0009	0.0002	0.0003	0.0017	0.0001	0.0002	0.0018	0.0006	0.0002	0.0003	0.0002	0.0001	0	0.0002	0.0005	0.0068	0.0001	0.0002	0	0.1009	0.0006	0.0001	0.0003	0.0004	0.0002	0.0003	0.0006
Ktedonosporobacter rubrisoli	0	0	0	0	0	0	0	0.0001	0	0	0.2334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0.0001	0	0
Thiomonas arsenitoxydans	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0.0001	0.2771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas stutzeri	0.0001	0.0001	0	0.0002	0.0004	0.0003	0.0027	0.0002	0.0003	0.0005	0.0005	0.0078	0.0382	0.0002	0.0002	0.0002	0.0001	0.0006	0.0001	0.0001	0.0002	0.0001	0.0002	0.0002	0.0006	0.0004	0.0014	0.0016	0.0001	0.0001	0.0002	0.0002	0.0356	0.0002	0.0002	0.001	0.0004	0.0002	0.0001	0.0006	0.0004	0.0007	0.0002	0.0002	0.0007	0.0011	0.0759	0.0093	0.0008	0.0009	0.0002	0.001	0.0025	0.0029
Bacillus smithii	0	0	0	0	0	0	0.0003	0	0	0	0	0	0.0001	0	0	0	0	0	0	0.0003	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0
Paenibacillus xylanexedens	0	0	0.0001	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0.0005	0.0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus licheniformis	0	0.3239	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0.0005	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009	0	0	0	0	0	0	0	0.0001	0
Cellulomonas sp. Y8	0.0007	0	0	0.0001	0.0002	0.0002	0	0.0003	0.0001	0	0.0001	0.0001	0	0.0001	0.0005	0.0001	0.0002	0.0002	0	0.0001	0	0.0001	0.0001	0.0004	0.0002	0.0001	0.0001	0.0008	0.0001	0.0001	0	0	0	0.0001	0.0004	0.0001	0	0	0.0005	0	0.0001	0.0003	0.0001	0.0116	0.0001	0	0.0002	0.0001	0	0.0002	0	0.0001	0	0.0001
Nonomuraea nitratireducens	0.0001	0.0001	0.0003	0.0082	0.0017	0.0037	0.0001	0.0007	0.0002	0	0.0001	0.0002	0.0001	0.0014	0.0001	0.0061	0.0022	0.0003	0	0.0001	0	0.0023	0.0001	0.0001	0.001	0.0002	0.0027	0.0008	0.0002	0.0003	0.0017	0	0.0002	0.0009	0.0005	0.0001	0.0002	0.0001	0.0001	0	0.0001	0.0005	0.0039	0.0001	0.0002	0	0.1201	0.0005	0.0001	0.0003	0.0003	0.0002	0.0002	0.0006
Kurthia sp. 11kri321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0.0001	0	0	0.0001	0	0	0	0.0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0.0001
Microbacterium chocolatum	0.0001	0	0	0	0.0001	0	0	0	0.0001	0	0	0	0	0	0	0.0001	0.0026	0	0	0	0	0	0.0001	0	0.0002	0	0	0.0002	0	0.0001	0.0001	0	0.0001	0	0	0.0001	0.2003	0	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0.0001	0	0.0001	0	0.0001
Yersinia entomophaga	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0.0394	0	0	0	0	0.0016
Aeromonas caviae	0	0	0.0002	0.0001	0	0.0002	0	0.0061	0	0.0904	0	0	0	0.0001	0.0006	0.0002	0.0004	0.0007	0.0033	0	0	0.0002	0	0	0.0001	0.0001	0.0003	0.0001	0	0	0	0.0001	0	0	0	0	0	0	0	0	0.0001	0.0001	0.0001	0	0.001	0	0	0	0	0.0014	0	0.0001	0.0029	0.0007
Rhodococcus opacus	0.0001	0.0003	0.0003	0.0003	0.0001	0.0132	0.0005	0.0001	0.0006	0.0001	0.0007	0.0001	0.0001	0.0001	0.0003	0.0001	0.0001	0.0108	0	0.0001	0	0.0001	0.0008	0	0.0001	0.0002	0.0002	0.0003	0.0005	0.0005	0.0001	0	0.0001	0.0435	0.0004	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0007	0.0006	0.0001	0.036	0.0001	0.0004	0.0028	0.0003	0.0002
Corallococcus coralloides	0	0	0	0.0464	0	0.0005	0	0.0345	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0.0001	0	0.0014	0.0001	0	0	0.0006	0.0002	0.0001	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0.0499	0	0	0.0001
Shewanella sp. Pdp11	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006	0	0	0	0	0.0148	0	0	0	0	0	0	0	0	0	0
Nocardia brasiliensis	0.0001	0.0002	0.0003	0.0019	0.0022	0.0002	0.0005	0.0042	0.0001	0	0.002	0.0001	0.0002	0.0001	0.0002	0.0001	0.0004	0.0011	0	0.0001	0.0001	0.0002	0.0008	0	0.0008	0.001	0.0003	0.0005	0.0005	0.0003	0.0002	0.0003	0.0028	0.0006	0.0003	0.0004	0.0001	0.0002	0.0001	0.0001	0.0898	0.005	0.0007	0.0007	0.0007	0.0023	0.0072	0.0002	0.0001	0.0002	0.0002	0.0004	0.0013	0.0161
Amycolatopsis mediterranei	0.0001	0.0012	0.0001	0.0004	0.0001	0.0003	0.0001	0.0001	0.0015	0	0.0006	0.0001	0.0005	0.0001	0.0001	0.0002	0.0107	0.0002	0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0003	0.0003	0.0003	0.0002	0.0001	0	0	0.0001	0.0001	0.0001	0.0003	0.0001	0.0001	0.0002	0.1016	0.0001	0.0001	0.0001	0.0005	0.0001	0.0001	0.0004	0.0004	0.0001	0.0001	0.0003	0.0001	0.0001	0.0002
Rhodanobacter glycinis	0	0	0	0	0.0002	0	0	0	0.0002	0	0.1598	0	0	0	0	0.0001	0	0.0002	0	0	0	0	0	0.0005	0.0003	0.0001	0	0.0002	0	0	0	0	0	0	0.0002	0.0002	0.0001	0	0	0	0.0001	0.0002	0.0003	0	0.0005	0	0	0	0.0004	0	0.0001	0	0	0.0001
Streptomyces fodineus	0	0.0001	0	0.0001	0.0001	0.0005	0	0.0001	0.0004	0	0.0001	0.0001	0	0.0002	0.0001	0.0003	0.0001	0.0001	0	0	0	0.0074	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0003	0.0001	0.0001	0	0.0001	0	0.0112	0.0075	0.0001	0.003	0.0002	0.0013	0.0005	0.0004	0.0001	0.0001	0.0022	0	0.0004	0.0004	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001
Listeria weihenstephanensis	0	0	0.0104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0
Bradyrhizobium icense	0	0	0	0.0001	0.0002	0	0	0.0001	0.0001	0	0	0	0	0	0	0	0	0.0001	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0.0008	0	0	0.0001	0	0	0.0001	0	0.001	0.0075	0	0	0	0	0	0	0	0.0001	0	0.1581	0	0.0001
Pseudomonas fluorescens	0.0001	0.0002	0	0.0001	0.0028	0.0482	0.0011	0.0008	0.0052	0.0002	0.0003	0.0006	0.0003	0.0001	0.0001	0.0007	0.0001	0.001	0.0001	0.0004	0.0001	0.0001	0.0001	0.0004	0.0003	0.0003	0.0015	0.0087	0.0001	0.0001	0.0017	0.0002	0.0004	0.0002	0.0341	0.0003	0.0003	0.0001	0.0003	0.0057	0.004	0.0003	0.0002	0.0002	0.0006	0.0004	0.0001	0.0016	0.0003	0.0049	0.0002	0.0002	0.0014	0.0002
Streptomyces aquilus	0.0001	0.0001	0.0001	0.0001	0.0001	0.004	0	0.0002	0.0001	0	0.0001	0.0003	0	0.0003	0.0001	0.0007	0.0002	0.0002	0	0	0.0001	0.0025	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0003	0.0001	0.0001	0	0.0001	0.0001	0.0001	0.0001	0.0001	0.011	0.0003	0.0012	0.0014	0.0009	0.0003	0.0002	0.0002	0	0.0004	0.0008	0.0009	0.0001	0.0001	0.0002	0.0004	0.0002
Pseudonocardia autotrophica	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0	0.0003	0.0001	0	0.0001	0.0001	0.0001	0.0001	0.0001	0	0.0001	0	0.0001	0.0002	0	0.0001	0.0003	0.0001	0.0007	0.0001	0.0001	0	0	0.0001	0.0001	0.0003	0.0001	0.0001	0	0	0	0.0001	0.0001	0.0168	0.0003	0.0001	0.0001	0.0005	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0003
Bradyrhizobium paxllaeri	0	0	0	0	0.0001	0	0	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0.0084	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0.0007	0	0	0	0	0.0082	0	0	0	0	0	0	0	0	0.0001	0	0	0	0.0001
Brevibacillus brevis	0	0	0.0001	0.0107	0.0001	0	0	0.0001	0.0013	0	0	0.0001	0	0.0048	0.0001	0	0.0001	0.0048	0	0.0012	0.0001	0	0.0001	0	0	0	0.0001	0	0	0	0.0001	0	0	0.0001	0	0.0015	0	0	0.0002	0.0001	0.0001	0	0	0	0	0.0001	0	0.0006	0	0.0001	0	0	0	0.0005
Vibrio furnissii	0	0	0.0001	0.0001	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0.0001	0	0	0.0596	0	0	0	0	0	0	0.0001	0	0	0.0001	0	0	0.0001	0	0	0	0.0334	0.0001	0
Streptomyces sviceus	0	0	0	0	0	0.0002	0	0	0.0015	0	0	0.2084	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0.0001	0	0.0001	0.0001	0	0	0	0	0	0.0001	0.0001	0	0	0	0	0.0001
Vibrio mediterranei	0	0	0.0001	0	0	0	0	0	0.0005	0	0	0	0	0.0001	0	0	0	0.021	0	0	0	0	0.0001	0.0016	0	0.002	0.0099	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0.0001	0	0	0.0001	0	0.0001	0.0001	0	0	0	0.0005	0.0001	0
Rhizobium leguminosarum	0.0003	0.0009	0	0.0006	0.0004	0.0003	0.001	0.0029	0.0007	0.0002	0.0001	0.0004	0.0011	0.0002	0.0001	0.0011	0.0005	0.0002	0.0001	0.005	0.0001	0.0001	0.0007	0.0038	0.0239	0.0003	0.0236	0.0001	0.0001	0.0016	0.0002	0.0023	0.0012	0.0004	0.0001	0.0003	0.0003	0	0.0012	0.0001	0.0097	0.0002	0.0001	0.0068	0.0003	0	0.0001	0.0001	0.0004	0.0012	0.0018	0.0049	0.0007	0.019
Lacrimispora sphenoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031	0.0036	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0.0993	0	0	0	0	0	0	0	0	0.0568	0	0	0	0.0001	0	0	0.0005	0
Flavisolibacter ginsenosidimutans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0
Myxococcus stipitatus	0	0	0	0.0002	0	0.0003	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1487	0	0	0.0002	0	0	0
Herbaspirillum rubrisubalbicans	0.0002	0	0	0	0.0001	0	0.0001	0.0039	0.0001	0	0.0002	0	0.0001	0.0001	0	0	0	0.0001	0	0	0.0001	0	0	0	0	0	0.0001	0	0	0.0001	0.0003	0.0036	0.0001	0.013	0	0	0.0001	0.0001	0	0	0.0004	0	0.0001	0	0.0001	0	0	0	0	0	0	0.0003	0	0
Shimwellia blattae	0	0	0	0	0	0	0	0	0	0	0	0.0001	0.0001	0.0009	0	0	0	0	0	0	0.0001	0	0	0	0	0.0001	0	0	0	0	0.1526	0	0	0	0	0	0.0004	0	0	0	0.0021	0.0001	0	0	0	0	0	0	0	0	0	0	0.0001	0
Streptomyces sp. SGAir0924	0	0.0001	0	0.0001	0	0.0001	0.0001	0.0001	0	0	0	0.0001	0	0.0001	0	0.0001	0.0001	0.0001	0	0	0.1368	0.0002	0	0	0	0	0	0.0003	0.0001	0	0	0	0.0001	0	0.0001	0.0001	0.0001	0.0004	0.0001	0.0001	0.0003	0.0001	0	0	0.0001	0	0.0002	0.0003	0	0	0	0	0.0001	0
Haliscomenobacter hydrossis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175	0	0	0	0	0	0	0	0.1368	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0
Halomonas sp. KO116	0	0.0195	0	0	0	0	0	0.0001	0.0024	0	0	0.0001	0.0001	0	0.0001	0	0.0001	0.0009	0	0	0	0	0	0	0	0	0.0001	0.0002	0	0	0.0057	0.001	0	0.0001	0.0001	0.0003	0	0	0.0001	0.0001	0	0	0	0	0.0004	0	0	0	0.1234	0.0001	0	0.0002	0	0.0002
