name	Simulation_left_010_007_5M_k	Simulation_left_020_007_5M_k	Simulation_left_050_007_5M_k	Simulation_left_100_007_5M_k	Simulation_left_150_007_5M_k	Simulation_left_200_007_5M_k	Simulation_left_250_007_5M_k	Simulation_left_300_007_5M_k	Simulation_left_500_007_5M_k	Simulation_left_010_015M_k	Simulation_left_020_015M_k	Simulation_left_050_015M_k	Simulation_left_100_015M_k	Simulation_left_150_015M_k	Simulation_left_200_015M_k	Simulation_left_250_015M_k	Simulation_left_300_015M_k	Simulation_left_500_015M_k	Simulation_left_010_030M_k	Simulation_left_020_030M_k	Simulation_left_050_030M_k	Simulation_left_100_030M_k	Simulation_left_150_030M_k	Simulation_left_200_030M_k	Simulation_left_250_030M_k	Simulation_left_300_030M_k	Simulation_left_500_030M_k	Simulation_left_010_045M_k	Simulation_left_020_045M_k	Simulation_left_050_045M_k	Simulation_left_100_045M_k	Simulation_left_150_045M_k	Simulation_left_200_045M_k	Simulation_left_250_045M_k	Simulation_left_300_045M_k	Simulation_left_500_045M_k	Simulation_left_010_090M_k	Simulation_left_020_090M_k	Simulation_left_050_090M_k	Simulation_left_100_090M_k	Simulation_left_150_090M_k	Simulation_left_200_090M_k	Simulation_left_250_090M_k	Simulation_left_300_090M_k	Simulation_left_500_090M_k	Simulation_left_010_150M_k	Simulation_left_020_150M_k	Simulation_left_050_150M_k	Simulation_left_100_150M_k	Simulation_left_150_150M_k	Simulation_left_200_150M_k	Simulation_left_250_150M_k	Simulation_left_300_150M_k	Simulation_left_500_150M_k
Microbacterium chocolatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysinibacillus fusiformis	0	0	0	0	0	0	0	0.0003433	0	0	0	0	0	0.0002362	0	0	0	0	0	0	0	0	0	0	0	0.0001601	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02484	0	0	0.06396	0	0.0007268	0	0	0	0	0	0	0.002264	0	0
Chryseobacterium shandongense	0	0	0	0	0	0	0	0.0007961	0	0.08588	0	0.0002555	0.0005323	0.0001331	0	0.0001192	0	0.0001119	0	0	0.0002242	0	0	0	0	0	0	0	0	0	0	0.0001031	0	0.0001139	0.0001444	0	0.0002644	0	0	0	0.0001063	0	0	0	0	0	0.002671	0	0.0001242	0	0	0	0	0.000176
Streptomyces cyaneochromogenes	0	0	0	0	0	0.001357	0	0.0001504	0	0	0	0	0	0	0	0.0002655	0	0	0	0	0	0.0007601	0	0	0.0005155	0.0001812	0	0	0	0	0	0	0	0	0	0	0	0.07803	0.0001025	0.0008253	0.0005919	0.0003141	0	0.0007777	0	0	0.0001064	0.0003444	0.0002446	0	0	0.004321	0.0002188	0
Shimwellia blattae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08516	0	0	0	0	0	0.0001448	0	0	0	0.001161	0	0	0	0	0	0	0	0	0	0	0	0	0
Haliscomenobacter hydrossis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009863	0	0	0	0	0	0	0	0.07371	0	0	0	0	0	0	0	0	0	0	0.0008733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myxococcus stipitatus	0	0	0	0	0	0.000108	0	0.0001077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07985	0	0	0	0	0	0
Halomonas sp. FeN2	0	0.07768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007154	0.000144	0	0	0	0	0	0	0	0	0	0	0	0	0.0001408	0	0	0	0	0	0	0	0	0
Amycolatopsis mediterranei	0	0.0006131	0	0	0	0.0001083	0	0	0.000698	0	0.0003171	0	0.0001317	0	0	0	0.005045	0	0	0	0	0	0	0	0	0.0001359	0.0001364	0	0	0	0	0	0	0	0	0.0001163	0	0	0	0.06999	0	0	0	0.0001954	0	0	0.000125	0.0001161	0	0	0.0001066	0	0	0
Treponema azotonutricium	0	0	0	0	0	0	0	0	0	0	0.07712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas stutzeri	0	0	0	0.000126	0.0001628	0	0.0009958	0.0002425	0.0001157	0.0001564	0.0002397	0.003518	0.02023	0.0001053	0	0	0	0.0002445	0	0	0.00014	0.0001042	0	0.0001052	0.0002532	0.0002146	0.0006457	0.0002779	0	0	0	0.0001093	0.01367	0.0001232	0	0.000465	0.0002167	0	0	0.0004175	0.00015	0.0003149	0.0001138	0.0001358	0.0002087	0.0005598	0.02884	0.0001035	0.0003575	0.0001974	0	0.0004834	0.0009081	0.001038
Nocardia brasiliensis	0	0	0	0.0007477	0.0007536	0	0.0001215	0.002368	0	0	0.0007202	0	0.0001003	0	0	0	0.0001212	0.0003667	0	0	0	0	0.0002574	0	0.0002661	0.000336	0.0001237	0.0001125	0.0001906	0.0001188	0	0.0001021	0.001124	0.0002418	0.000117	0.0001437	0	0	0	0	0.04998	0.0016	0.0006196	0.0002561	0.00018	0.0007703	0.001699	0	0	0	0	0.000157	0.0004281	0.00801
Lacrimispora saccharolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001755	0.0002661	0	0	0	0.01773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005878	0	0	0	0	0	0	0	0	0.03303	0	0	0	0	0	0.01245	0.0002434	0
Paenibacillus baekrokdamisoli	0	0	0	0	0	0	0	0	0	0	0	0.0001291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpentinimonas raichei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001022	0	0.06958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus sp. FSL H7-0357	0	0	0.0004843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06841	0	0	0	0.0001976	0	0	0	0	0	0
Halomonas sp. KO116	0	0.001947	0	0	0	0	0	0	0.001208	0	0	0	0	0	0	0	0	0.0004215	0	0	0	0	0	0	0	0	0	0	0	0	0.002014	0.0003947	0	0	0	0	0	0	0	0	0	0	0	0	0.0001055	0	0	0	0.06229	0	0	0	0	0
Calothrix sp. NIES-4071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002511	0	0	0	0.05997	0	0	0	0.007755	0	0	0	0	0
Syntrophus aciditrophicus	0	0	0	0	0	0	0	0	0	0	0	0	0.004709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes finegoldii	0.06291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas fluorescens	0	0	0	0	0.0002389	0.02437	0.0004341	0.0002977	0.001005	0	0	0.0001679	0.0001052	0	0	0.0002426	0	0.0003399	0	0	0	0.003437	0	0.0001176	0	0.0001146	0.0006258	0.003192	0	0	0.0006381	0.0001033	0.0001612	0.0005233	0.01837	0	0	0	0	0.00593	0.0003246	0.00146	0.0001861	0.0001363	0.0002435	0.000353	0	0.0005669	0	0.002147	0	0	0.00052	0.0001407
Shewanella sp. Pdp11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005759	0	0	0	0	0	0	0	0	0	0
Fischerella sp. NIES-3754	0	0	0	0	0	0	0	0	0	0	0	0.06482	0	0	0	0	0	0	0	0.0002761	0	0.0001295	0.0001056	0	0	0	0	0	0	0	0	0	0	0	0.0003618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beijerinckia indica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylibium petroleiphilum	0	0	0	0	0	0	0	0	0	0	0	0.0003377	0	0	0	0	0	0	0	0	0.0002539	0	0	0	0	0	0	0	0	0	0	0	0	0.0002833	0	0	0.0626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas schubertii	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003302	0	0	0	0	0.05612	0	0	0.003653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas kerstersii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06132	0	0	0	0	0	0.0001061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002777	0	0	0	0	0
Burkholderia stagnalis	0.0001199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06066	0	0	0	0	0	0	0	0	0.0001105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corallococcus coralloides	0	0	0	0.02029	0	0.0001039	0	0.01453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005618	0	0	0	0.0001304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02338	0	0	0
Mycobacterium sp. JS623	0	0	0	0	0	0	0	0	0	0	0	0	0.0004981	0	0	0	0	0	0	0	0	0	0	0	0	0.04911	0	0	0.0006741	0	0	0	0	0	0	0	0.0001174	0	0	0	0	0.007194	0	0.0001846	0	0	0	0	0	0	0	0	0	0
Streptomyces chartreusis	0	0.0001647	0	0	0	0.001251	0	0.0002267	0	0	0	0	0	0	0	0.0004745	0.0003643	0.0001057	0	0	0	0.001234	0	0.0001034	0.0004623	0.0002302	0	0	0.000153	0	0	0	0	0.0001152	0	0	0	0.04035	0.000197	0.001018	0.002019	0.0004665	0	0.000501	0.0001496	0	0.0002303	0.0006193	0.0003886	0	0	0.00199	0.000322	0.001879
Phocaeicola dorei	0	0	0.05137	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia territorii	0.0007393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002232	0	0	0.05098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfotomaculum ferrireducens	0	0	0	0	0	0	0	0.0004933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006139	0	0	0	0	0	0	0	0	0	0.0526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus bicirculans	0	0	0	0	0.0222	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0	0	0	0	0	0	0.004314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium mustelae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio furnissii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01963	0	0
Gramella fulva	0	0	0.05156	0	0	0	0	0	0	0	0	0.0001052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phyllobacterium zundukense	0	0.0001437	0	0.0001591	0	0	0	0	0.0004581	0	0	0	0	0	0	0	0.04605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002791	0	0	0	0	0	0	0	0	0.004018	0	0	0
Limnoglobus roseus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calothrix sp. NIES-3974	0	0	0	0	0	0	0	0	0	0	0.05017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001138	0	0	0	0	0	0	0	0	0	0	0	0	0
Azoarcus sp. DN11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01023	0	0	0	0	0	0	0	0	0	0.0008564	0	0	0	0	0.0368	0	0	0.00137	0	0	0	0	0.000289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Methylopumilus planktonicus	0	0	0	0	0	0	0	0	0.0001689	0.04866	0	0	0	0	0	0.0002521	0	0.0001872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alteromonas macleodii	0	0	0	0	0	0	0.002803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003613	0	0	0	0	0.0009238	0	0	0	0	0	0	0	0	0.0002223	0	0.04053	0	0	0	0	0	0	0.0008072	0	0	0	0	0	0	0	0	0
Pseudomonas mandelii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01222	0	0	0	0.0001001	0	0	0	0	0	0	0	0	0	0	0	0.0001218	0	0	0.0349	0	0	0	0	0	0	0	0.001314	0	0	0
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	0	0	0	0.04565	0	0.000162	0	0	0	0	0	0	0	0	0	0	0.0001377	0	0	0	0	0	0	0	0.0007961	0	0	0	0	0	0	0	0	0	0	0.0002199	0	0	0.0001024	0.0009931	0.0004159	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus opacus	0	0	0	0	0	0.003803	0	0	0	0	0.0001833	0	0	0	0	0	0	0.005424	0	0	0	0	0.0001405	0	0	0	0	0	0.0001213	0.0001516	0	0	0	0.02188	0	0	0	0	0	0	0	0	0	0	0	0.0001206	0.0001109	0	0.01518	0	0.0001059	0.0009312	0	0
Geobacter sulfurreducens	0	0	0	0	0.04454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002154	0	0	0	0.0009744
Streptomyces ferrugineus	0	0	0	0	0	0.0008924	0	0.0001499	0	0	0	0	0	0	0	0.0002613	0	0	0	0	0	0.0006777	0	0	0.000403	0.0001643	0	0	0	0	0	0	0	0	0	0	0	0.04199	0	0.0006531	0.0005056	0.0003322	0	0.0005668	0	0	0.0001413	0.0002629	0.0002063	0	0	0	0.0001921	0.000103
Clostridium sporogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001312	0	0	0	0	0	0	0	0	0	0	0
Pseudanabaena sp. ABRG5-3	0	0	0.04639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. CB09001	0	0	0	0	0	0.0001113	0.0001764	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003882	0.0001476	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004076	0	0.0006126	0.04395	0	0.0001274	0	0	0	0.0001234	0	0	0.0001414	0	0	0	0	0	0
Bradyrhizobium amphicarpaeae	0	0	0	0	0.0001503	0	0	0.000112	0	0	0	0	0	0	0	0	0	0	0	0.02735	0	0	0	0.004877	0	0	0	0	0	0	0	0	0	0	0	0.01312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004718
Roseovarius indicus	0	0	0	0	0	0.0001479	0.0001132	0	0.0001488	0.0002144	0	0.0001345	0.0001094	0.0001459	0	0.0001056	0	0	0	0	0	0	0.0001302	0	0	0	0	0	0	0	0	0	0.0001615	0	0	0	0	0	0	0.0001991	0	0.0001077	0	0	0.0001121	0	0.0003401	0.04368	0	0	0	0.0001176	0	0
Nonomuraea nitratireducens	0	0	0.0001313	0.003131	0.0006377	0.00131	0	0.0003136	0	0	0	0	0	0.0004787	0	0.002311	0.0007841	0.0001227	0	0	0	0.0008558	0	0	0.0003253	0	0.001049	0.0002725	0	0.0001125	0.0006201	0	0.0001034	0.0003196	0.0001763	0	0	0	0	0	0	0.0001926	0	0	0	0	0.03188	0.0001486	0	0.0001031	0.0001063	0.0001096	0.0001211	0.0002337
Pseudobacter ginsenosidimutans	0	0	0	0	0	0	0	0	0.004337	0	0	0	0	0	0.00321	0	0	0.0005708	0	0	0	0	0	0	0	0	0	0	0	0.02305	0	0.0139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ferrovibrio terrae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01227
Arsenicicoccus sp. oral taxon 190	0	0	0	0	0	0	0	0.0002199	0	0	0	0	0.04379	0	0	0	0	0	0	0.0002578	0	0	0	0	0	0	0	0.0002624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dechloromonas sp. HYN0024	0	0	0	0	0	0	0	0	0	0	0	0.04006	0	0.000152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharopolyspora erythraea	0	0.0002919	0	0	0	0.0001443	0.0002053	0	0.0001229	0	0.0004578	0	0	0	0	0.0001084	0	0	0	0	0	0.03245	0	0	0	0.0007498	0.0001239	0.0003324	0.0001325	0	0	0	0.00597	0.0001415	0	0.0001047	0	0	0	0	0.0002258	0	0	0	0	0	0.0002192	0	0.0002047	0.0004009	0	0	0	0.00206
Geodermatophilus obscurus	0	0	0	0.0003983	0	0	0	0.008279	0	0	0	0	0	0.0001913	0	0	0.0002065	0.0006053	0	0	0	0	0.001817	0	0.0002805	0.0007287	0.0003267	0.0003319	0	0	0.0282	0.0002065	0	0.001203	0	0.0001046	0	0	0	0	0	0.0001335	0	0	0	0	0	0	0	0	0.001343	0	0	0
Kocuria indica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04176	0	0	0.001288	0	0	0	0	0	0	0	0	0	0	0	0
Luteitalea pratensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neochlamydia sp. S13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000202	0	0	0	0	0	0	0.04281	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas albilineans	0	0	0	0	0	0	0	0	0	0	0	0	0.04164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomonospora viridis	0	0.000156	0	0	0	0.0001372	0.0001875	0	0	0	0	0	0	0	0	0	0	0.0001601	0	0	0	0	0	0	0	0	0.0001549	0	0	0	0.0001619	0	0	0	0	0	0	0	0.0404	0	0	0	0	0	0	0	0	0	0	0	0.0001109	0	0	0
Paenibacillus sp. JZ16	0	0	0	0	0.00758	0	0.0001511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03148	0	0	0	0	0	0	0	0	0	0.001627	0	0	0	0	0	0	0	0	0	0
Methylobacterium radiodurans	0	0	0	0.002023	0.0001064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03828	0	0	0	0	0	0	0	0	0.0002408	0	0	0	0	0	0	0.0001445	0	0	0
Acetobacter aceti	0	0.0001449	0	0	0	0.0004741	0.000152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03939	0	0	0	0	0	0	0	0	0	0	0
Rhizobium leguminosarum	0	0.0002175	0	0.0002208	0	0	0.0002987	0.0005981	0.0001459	0	0	0.000101	0.0002914	0	0	0.0003195	0.0001269	0	0	0.0009895	0	0	0.000137	0.001144	0.005669	0	0.01231	0	0	0.0003335	0	0.0001464	0.0002885	0.0001046	0	0	0	0	0.000241	0	0.00323	0	0	0.001995	0	0	0	0	0.0001114	0.0002677	0.0003614	0.001515	0.000141	0.009341
Agarilytica rhodophyticola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00211	0
Vibrio breoganii	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01771	0	0	0	0	0	0	0	0	0	0.0005017	0	0	0	0	0	0	0	0	0	0.001087	0	0	0	0	0	0	0	0.002261	0	0	0	0	0.01603	0	0	0	0	0	0.002024	0
Komagataeibacter xylinus	0	0.03509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004178	0	0	0	0	0.003451	0	0	0	0	0	0.0002254	0	0	0	0	0	0	0	0	0
Inhella inkyongensis	0	0	0.03946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
