Species	Simul_RM_1KGenome_010_15M	Simul_RM_1KGenome_010_30M	Simul_RM_1KGenome_010_45M	Simul_RM_1KGenome_020_15M	Simul_RM_1KGenome_020_30M	Simul_RM_1KGenome_020_45M	Simul_RM_1KGenome_050_15M	Simul_RM_1KGenome_050_30M	Simul_RM_1KGenome_050_45M	Simul_RM_1KGenome_100_15M	Simul_RM_1KGenome_100_30M	Simul_RM_1KGenome_100_45M	Simul_RM_1KGenome_150_15M	Simul_RM_1KGenome_150_30M	Simul_RM_1KGenome_150_45M	Simul_RM_1KGenome_200_15M	Simul_RM_1KGenome_200_30M	Simul_RM_1KGenome_200_45M	Simul_RM_1KGenome_250_15M	Simul_RM_1KGenome_250_30M	Simul_RM_1KGenome_250_45M	Simul_RM_1KGenome_300_15M	Simul_RM_1KGenome_300_30M	Simul_RM_1KGenome_300_45M	Simul_RM_1KGenome_500_15M	Simul_RM_1KGenome_500_30M	Simul_RM_1KGenome_500_45M	Simul_RM_5KGenome_010_15M	Simul_RM_5KGenome_010_30M	Simul_RM_5KGenome_010_45M	Simul_RM_5KGenome_020_15M	Simul_RM_5KGenome_020_30M	Simul_RM_5KGenome_020_45M	Simul_RM_5KGenome_050_15M	Simul_RM_5KGenome_050_30M	Simul_RM_5KGenome_050_45M	Simul_RM_5KGenome_100_15M	Simul_RM_5KGenome_100_30M	Simul_RM_5KGenome_100_45M	Simul_RM_5KGenome_150_15M	Simul_RM_5KGenome_150_30M	Simul_RM_5KGenome_150_45M	Simul_RM_5KGenome_200_15M	Simul_RM_5KGenome_200_30M	Simul_RM_5KGenome_200_45M	Simul_RM_5KGenome_250_15M	Simul_RM_5KGenome_250_30M	Simul_RM_5KGenome_250_45M	Simul_RM_5KGenome_300_15M	Simul_RM_5KGenome_300_30M	Simul_RM_5KGenome_300_45M	Simul_RM_5KGenome_500_15M	Simul_RM_5KGenome_500_30M	Simul_RM_5KGenome_500_45M	Simul_RM_10KGenome_010_15M	Simul_RM_10KGenome_010_30M	Simul_RM_10KGenome_010_45M	Simul_RM_10KGenome_020_15M	Simul_RM_10KGenome_020_30M	Simul_RM_10KGenome_020_45M	Simul_RM_10KGenome_050_15M	Simul_RM_10KGenome_050_30M	Simul_RM_10KGenome_050_45M	Simul_RM_10KGenome_100_15M	Simul_RM_10KGenome_100_30M	Simul_RM_10KGenome_100_45M	Simul_RM_10KGenome_150_15M	Simul_RM_10KGenome_150_30M	Simul_RM_10KGenome_150_45M	Simul_RM_10KGenome_200_15M	Simul_RM_10KGenome_200_30M	Simul_RM_10KGenome_200_45M	Simul_RM_10KGenome_250_15M	Simul_RM_10KGenome_250_30M	Simul_RM_10KGenome_250_45M	Simul_RM_10KGenome_300_15M	Simul_RM_10KGenome_300_30M	Simul_RM_10KGenome_300_45M	Simul_RM_10KGenome_500_15M	Simul_RM_10KGenome_500_30M	Simul_RM_10KGenome_500_45M
UBA412_sp002495685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001455444
Micrarchaeum_acidiphilum_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004298369	0	0	0	0	0
CAINOH01_sp903851445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000191179	0	0	0	0
CAIPOI01_sp903866625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187033	0	0	0	0	0	0
Parvarchaeum_acidiphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000619678	0	0	0.000815855
Parvarchaeum_acidophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012269257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGIIa-L2_sp002499195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000817078	0	0	0	0	0	0	0	0
MGIIb-N2_sp002506875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00634754	0	0	0
MGIIb-O5_sp002730095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002176841	0	0	0	0	0	0	0	0
VadinCA11_sp002498365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00325115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VadinCA11_sp002505345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00184578	0	0	0	0	0	0	0	0	0	0
Acidiplasma_aeolicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037271983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cuniculiplasma_divulgatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001959986	0	0	0	0	0	0.002356034	0.000837534	0.000758562	0.002087571	0	0	0.00098056	0.005902963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003627891	0	0	0	0	0	0	0
Methanomethylicus_mesodigestum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000861249	0	0	0
Nitrosocaldus_sp013538805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164027
SCGC-AAA471-B05_sp000380705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002395702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharolobus_islandicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006109703	0.001492451	0.008645545	0	0	0	0	0.002352459	0	0	0.001713974	0.000694546	0.000366097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004656932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002056052	0	0	0	0	0	0	0	0	0.000887085	0	0
CAIQPK01_sp903873705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003628029	0	0	0	0	0	0	0	0
Terracidiphilus_sp003133425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003331365	0
Terracidiphilus_sp003161045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001598109	0	0	0	0	0	0	0	0	0	0	0	0
Bog-209_sp003132405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000487488	0.002168956	0	0	0	0	0.001632116
Aminicenans_sakinawicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007291643	0	0	0	0	0	0	0	0	0
Geothrix_sp903857495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020044886	0	0	0	0.00489826	0	0	0	0	0	0	0	0	0	0.000722086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002218559	0	0	0	0	0	0.002232801
Geothrix_sp903873655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001345512	0	0	0	0	0
RBG-13-68-16_sp003158745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003365569	0.001056231	0.000880443	0.001087765	0.01843117	0.003132641	0.00348884	0.004342267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014890575	0	0	0
WTGL01_sp009837085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005562787	0	0	0	0	0	0	0	0
Casp-actino8_sp009700145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002113953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000781981
F1-60-MAGs027_sp010025655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017087291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA668_sp903919455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MedAcidi-G1_sp002294285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013067618	0	0	0	0	0	0	0	0	0	0	0.000808877	0	0	0	0	0	0
MedAcidi-G1_sp002716285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007991614	0	0	0	0
Microthrix_parvicella	0.031519304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007320751	0	0.007808129	0.006131392	0.000376447	0	0	0.004741072	0.000547082	0.004095357	0.000270636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003881958	0	0	0	0	0	0
SXMI01_sp903852755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030697126	0	0	0	0	0	0	0	0	0	0	0	0
Bog-515_sp003155135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009553032	0	0	0	0	0	0
CAIQEU01_sp903870905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003909587	0	0	0	0	0	0	0	0.000632973	0	0
CAIUMH01_sp903900235	0	0	0	0.159258504	0	0	0	0	0	0	0	0	0.001195946	0	0	0	0	0	0.00159894	0	0	0	0	0.029687576	0.000497735	0.005327689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002847837	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAAP-2_sp003133125	0	0	0	0	0	0	0	0	0	0	0	0	0.000980545	0	0	0	0.007751402	0	0.002322711	0	0	0	0.004250144	0	0.006015188	0	0.014729394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010746271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAAP-2_sp003138815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001795369	0.002653845	0	0	0	0.003315759	0	0	0.000563428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005342961	0	0.00068566	0	0	0
RAAP-2_sp003141095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002411905	0.00286478	0	0	0
RAAP-2_sp903848885	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011888202	0	0	0	0	0	0	0	0	0	0	0.002581942	0	0.000698576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001385871
Actinomarina_sp002724835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0084683	0	0	0	0	0	0	0.000460444	0	0	0	0	0.000904228	0
Actinomarina_sp003213625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003865561	0	0	0	0	0
Actinomarina_sp003281085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004690569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003308647	0	0	0	0	0.001041392	0.003162219	0	0	0	0
CAIUKV01_sp903899845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001451551	0.004654287	0	0	0	0.001321455	0	0
Actinomyces_oris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001323507	0.000433871
Actinomyces_oris_E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001809864	0	0	0	0	0
Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0.000374663	0.00069908	0.003038171	0	0.002204687	0	0	0	0	0	0	0	0	0	0.000237008	0.001553693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006340696	0	0	0.008233949	0.004453621	0	0	0	0.002278018	0	0	0.00105396	0	0	0	0	0	0	0	0	0	0	0	0	0.008838069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041678999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001068137	0	0	0	0.0006957	0	0	0	0
